CodigoArea,NomeCurso
07,"Redes de telecomunicações"
07,"Sistemas biomédicos"
07,"Sistemas de telecomunicações"
07,"Telemática"
07,"Engenharia física"
07,"Engenharia mecânica"
07,"Engenharia metalúrgica"
07,"Fabricação mecânica"
07,"Manutenção industrial"
07,"Mecânica de precisão"
07,"Processos metalúrgicos"
07,"Soldagem"
07,"Aeroespacial"
07,"Construção naval"
07,"Engenharia aeroespacial"
07,"Engenharia aeronáutica"
07,"Engenharia automotiva"
07,"Engenharia ferroviária e metroviária"
07,"Engenharia naval"
07,"Manutenção de aeronaves"
07,"Sistemas automotivos"
07,"Sistemas de navegação fluvial"
07,"Alimentos"
07,"Engenharia de alimentos"
07,"Laticínios"
07,"Processamento de carnes"
07,"Produção de cachaça"
07,"Produção sucroalcooleira"
07,"Produção de cerveja"
07,"Cerâmica"
07,"Ciências dos materiais"
07,"Engenharia de materiais"
07,"Papel e celulose"
07,"Polímeros"
07,"Produção joalheira"
07,"Produção moveleira"
07,"Engenharia têxtil"
07,"Produção de vestuário"
07,"Produção têxtil"
07,"Engenharia de minas"
07,"Engenharia de petróleo"
07,"Engenharia geológica"
07,"Mineração"
07,"Petróleo e gás"
07,"Rochas ornamentais"
07,"Engenharia de manufatura"
07,"Engenharia de produção"
07,"Engenharia industrial"
07,"Produção gráfica"
07,"Produção industrial"
07,"Agrimensura"
07,"Arquitetura e urbanismo"
07,"Engenharia cartográfica"
07,"Engenharia de agrimensura"
07,"Engenharia de agrimensura e cartográfica"
07,"Construção de edifícios"
07,"Controle de obras"
07,"Engenharia civil"
07,"Engenharia de recursos hídricos"
07,"Engenharia de transportes"
07,"Engenharia portuária"
07,"Estradas"
07,"Gestão de recursos hídricos"
07,"Material de construção"
07,""Programas interdisciplinares abrangendo engenharia, produção e construção""
08,"Agroecologia"
08,"Agroindústria"
08,"Agronegócio"
08,"Agronomia"
08,"Agropecuária"
08,"Cafeicultura"
08,"Engenharia agrícola"
08,"Engenharia de biossistemas"
08,"Fruticultura"
08,"Irrigação e drenagem"
08,"Manejo da produção agrícola"
08,"Viticultura e enologia"
08,"Zootecnia"
08,"Horticultura"
08,"Engenharia florestal"
08,"Silvicultura"
08,"Aquicultura"
08,"Engenharia de pesca"
08,"Produção pesqueira"
08,"Medicina veterinária"
08,""Programas interdisciplinares abrangendo agricultura, silvicultura, pesca e veterinária""
09,"Odontologia"
09,"Medicina"
09,"Enfermagem"
09,"Análises clínicas e toxicológicas"
09,"Biomedicina"
09,"Oftálmica"
09,"Optometria"
09,"Prótese e órtese"
09,"Radiologia"
09,"Educação física"
09,"Fisioterapia"
09,"Fonoaudiologia"
09,"Nutrição"
09,"Podologia"
09,"Terapia ocupacional"
09,"Farmácia"
09,"Musicoterapia"
09,"Práticas integrativas"
09,"Saúde coletiva"
09,"Saúde pública"
09,"Assistência a idosos e a deficientes"
09,"Gerontologia"
09,"Serviço social"
09,"Programas interdisciplinares abrangendo saúde e bem-estar"
10,"Economia doméstica"
10,"Estética e cosmética"
10,"Gastronomia"
10,"Formação de técnicos e treinadores esportivos"
10,"Gestão desportiva e de lazer"
10,"Eventos"
10,"Hotelaria"
10,"Turismo"
10,"Segurança no trabalho"
10,"Ciências militares"
10,"Investigação e perícia"
10,"Segurança no trânsito"
10,"Segurança privada"
10,"Segurança pública"
10,"Serviços penais"
10,"Ciências aeronáuticas"
10,"Gestão portuária"
10,"Transporte aéreo"
10,"Transporte terrestre"
10,"Programas interdisciplinares abrangendo serviços"
11,"Outros cursos de graduação não especificados em outras áreas"
